time,joint1,joint2,joint3,joint4,joint5,joint6
1749189936.3124216,0.0,0.0,-0.0,0.0,0.0,0.0
1749189936.8091123,0.0,0.0,-0.0,0.0,0.0,0.0
1749189937.2854884,0.0,0.0,-0.0,0.0,0.0,0.0
1749189937.763393,0.0,0.0,-0.0,0.0,0.0,0.0
1749189938.210624,0.0,0.0,-0.0,0.0,0.0,0.0
1749189938.729418,0.0,0.0,-0.0,0.0,0.0,0.0
1749189939.151957,0.0,0.0,-0.0,0.0,0.0,0.0
1749189939.5863636,0.0,0.0,-0.0,0.0,0.0,0.0
1749189940.043524,0.0,0.0,-0.0,0.0,0.0,0.0
1749189940.5662086,0.0,0.0,-0.0,0.0,0.0,0.0
1749189941.0255554,0.0,0.0,-0.0,0.0,0.0,0.0
1749189941.450852,0.0,0.0,-0.0,0.0,0.0,0.0
1749189941.8813002,0.0,0.0,-0.0,0.0,0.0,0.0
1749189942.3747535,0.0,0.0,-0.0,0.0,0.0,0.0
1749189942.8324354,0.0,0.0,-0.0,0.0,0.0,0.0
1749189943.3062758,0.0,0.0,-0.0,0.0,0.0,0.0
1749189943.8193069,0.0,0.0,-0.0,0.0,0.0,0.0
1749189944.291962,0.0,0.0,-0.0,0.0,0.0,0.0
1749189944.7484813,0.0,0.0,-0.0,0.0,0.0,0.0
1749189945.2709303,0.0,0.0,-0.0,0.0,0.0,0.0
1749189945.7251554,0.0,0.0,-0.0,0.0,0.0,0.0
1749189946.1464725,0.0,0.0,-0.0,0.0,0.0,0.0
1749189946.5677729,0.0,0.0,-0.0,0.0,0.0,0.0
1749189947.0674574,0.0,0.0,-0.0,0.0,0.0,0.0
1749189947.4973972,0.0,0.0,-0.0,0.0,0.0,0.0
1749189947.9286277,0.0,0.0,-0.0,0.0,0.0,0.0
1749189948.364288,0.0,0.0,-0.0,0.0,0.0,0.0
1749189948.8784776,0.0,0.0,-0.0,0.0,0.0,0.0
1749189949.3210478,0.0,0.0,-0.0,0.0,0.0,0.0
1749189949.7706923,0.0,0.0,-0.0,0.0,0.0,0.0
1749189950.2919421,0.0,0.0,-0.0,0.0,0.0,0.0
1749189950.734632,0.0,0.0,-0.0,0.0,0.0,0.0
1749189951.1867714,0.0,0.0,-0.0,0.0,0.0,0.0
1749189951.6392374,0.0,0.0,-0.0,0.0,0.0,0.0
1749189952.1664345,0.0,0.0,-0.0,0.0,0.0,0.0
1749189952.6264644,0.0,0.0,-0.0,0.0,0.0,0.0
1749189953.09755,0.0,0.0,-0.0,0.0,0.0,0.0
1749189953.6421573,0.0,0.0,-0.0,0.0,0.0,0.0
1749189954.111738,0.0,0.0,-0.0,0.0,0.0,0.0
1749189954.5830865,0.0,0.0,-0.0,0.0,0.0,0.0
1749189955.282848,0.0,0.0,-0.0,0.0,0.0,0.0
1749189955.75604,0.0,0.0,-0.0,0.0,0.0,0.0
1749189956.2410996,0.0,0.0,-0.0,0.0,0.0,0.0
1749189956.7228465,0.0,0.0,-0.0,0.0,0.0,0.0
1749189957.2816439,0.0,0.0,-0.0,0.0,0.0,0.0
1749189957.7746627,0.0,0.0,-0.0,0.0,0.0,0.0
1749189958.2683995,0.0,0.0,-0.0,0.0,0.0,0.0
1749189958.823854,0.0,0.0,-0.0,0.0,0.0,0.0
1749189959.2598138,0.0,0.0,-0.0,0.0,0.0,0.0
1749189959.69735,0.0,0.0,-0.0,0.0,0.0,0.0
1749189960.1346622,0.0,0.0,-0.0,0.0,0.0,0.0
1749189960.6462753,0.0,0.0,-0.0,0.0,0.0,0.0
1749189961.0854292,0.0,0.0,-0.0,0.0,0.0,0.0
1749189961.5265036,0.0,0.0,-0.0,0.0,0.0,0.0
1749189961.9735372,0.0,0.0,-0.0,0.0,0.0,0.0
1749189962.4993122,0.0,0.0,-0.0,0.0,0.0,0.0
1749189962.946311,0.0,0.0,-0.0,0.0,0.0,0.0
1749189963.3994005,0.0,0.0,-0.0,0.0,0.0,0.0
1749189963.8447146,0.0,0.0,-0.0,0.0,0.0,0.0
1749189964.3649602,0.0,0.0,-0.0,0.0,0.0,0.0
1749189964.8079581,0.0,0.0,-0.0,0.0,0.0,0.0
1749189965.264752,0.0,0.0,-0.0,0.0,0.0,0.0
1749189965.7158864,0.0,0.0,-0.0,0.0,0.0,0.0
1749189966.2400672,0.0,0.0,-0.0,0.0,0.0,0.0
1749189966.6934192,0.0,0.0,-0.0,0.0,0.0,0.0
1749189967.154145,0.0,0.0,-0.0,0.0,0.0,0.0
1749189967.6893318,0.0,0.0,-0.0,0.0,0.0,0.0
1749189968.1485152,0.0,0.0,-0.0,0.0,0.0,0.0
1749189968.6110723,0.0,0.0,-0.0,0.0,0.0,0.0
1749189969.139395,0.0,0.0,-0.0,0.0,0.0,0.0
1749189969.7932725,0.0,0.0,-0.0,0.0,0.0,0.0
1749189970.259736,0.0,0.0,-0.0,0.0,0.0,0.0
1749189970.7281277,0.0,0.0,-0.0,0.0,0.0,0.0
1749189971.2619412,0.0,0.0,-0.0,0.0,0.0,0.0
1749189971.7208202,0.0,0.0,-0.0,0.0,0.0,0.0
1749189972.1924016,0.0,0.0,-0.0,0.0,0.0,0.0
1749189972.739151,0.0,0.0,-0.0,0.0,0.0,0.0
1749189973.2060184,0.0,0.0,-0.0,0.0,0.0,0.0
1749189973.7129428,0.0,0.0,-0.0,0.0,0.0,0.0
1749189974.1873953,0.0,0.0,-0.0,0.0,0.0,0.0
1749189974.7289882,0.0,0.0,-0.0,0.0,0.0,0.0
1749189975.203803,0.0,0.0,-0.0,0.0,0.0,0.0
1749189975.677555,0.0,0.0,-0.0,0.0,0.0,0.0
1749189976.2204995,0.0,0.0,-0.0,0.0,0.0,0.0
1749189976.690968,0.0,0.0,-0.0,0.0,0.0,0.0
1749189977.1855772,0.0,0.0,-0.0,0.0,0.0,0.0
1749189977.7449827,0.0,0.0,-0.0,0.0,0.0,0.0
1749189978.211113,0.0,0.0,-0.0,0.0,0.0,0.0
1749189978.7281585,0.0,0.0,-0.0,0.0,0.0,0.0
1749189979.189822,0.0,0.0,-0.0,0.0,0.0,0.0
1749189979.7201672,0.0,0.0,-0.0,0.0,0.0,0.0
1749189980.1750515,0.0,0.0,-0.0,0.0,0.0,0.0
1749189980.6285515,0.0,0.0,-0.0,0.0,0.0,0.0
1749189981.1556733,0.0,0.0,-0.0,0.0,0.0,0.0
1749189981.6122537,0.0,0.0,-0.0,0.0,0.0,0.0
1749189982.067036,0.0,0.0,-0.0,0.0,0.0,0.0
1749189982.5245194,0.0,0.0,-0.0,0.0,0.0,0.0
1749189983.0543334,0.0,0.0,-0.0,0.0,0.0,0.0
1749189983.5133784,0.0,0.0,-0.0,0.0,0.0,0.0
1749189983.971449,0.0,0.0,-0.0,0.0,0.0,0.0
1749189984.5162642,0.0,0.0,-0.0,0.0,0.0,0.0
1749189984.9862547,0.0,0.0,-0.0,0.0,0.0,0.0
1749189985.4459248,0.0,0.0,-0.0,0.0,0.0,0.0
1749189986.0151317,0.0,0.0,-0.0,0.0,0.0,0.0
1749189986.5269172,0.0,0.0,-0.0,0.0,0.0,0.0
1749189986.991189,0.0,0.0,-0.0,0.0,0.0,0.0
1749189987.4520438,0.0,0.0,-0.0,0.0,0.0,0.0
1749189987.9971466,0.0,0.0,-0.0,0.0,0.0,0.0
1749189988.4607618,0.0,0.0,-0.0,0.0,0.0,0.0
1749189988.9287927,0.0,0.0,-0.0,0.0,0.0,0.0
1749189989.499213,0.0,0.0,-0.0,0.0,0.0,0.0
1749189989.9871495,0.0,0.0,-0.0,0.0,0.0,0.0
1749189990.4839368,0.0,0.0,-0.0,0.0,0.0,0.0
1749189990.9664502,0.0,0.0,-0.0,0.0,0.0,0.0
1749189991.503247,0.0,0.0,-0.0,0.0,0.0,0.0
1749189991.9813273,0.0,0.0,-0.0,0.0,0.0,0.0
1749189992.469007,0.0,0.0,-0.0,0.0,0.0,0.0
1749189993.0150776,0.0,0.0,-0.0,0.0,0.0,0.0
1749189993.5233958,0.0,0.0,-0.0,0.0,0.0,0.0
1749189993.9882307,0.0,0.0,-0.0,0.0,0.0,0.0
1749189994.453675,0.0,0.0,-0.0,0.0,0.0,0.0
1749189995.0241804,0.0,0.0,-0.0,0.0,0.0,0.0
1749189995.4915075,0.0,0.0,-0.0,0.0,0.0,0.0
1749189995.9710724,0.0,0.0,-0.0,0.0,0.0,0.0
1749189996.512838,0.0,0.0,-0.0,0.0,0.0,0.0
1749189997.0063083,0.0,0.0,-0.0,0.0,0.0,0.0
1749189997.5065882,0.0,0.0,-0.0,0.0,0.0,0.0
1749189998.0628092,0.0,0.0,-0.0,0.0,0.0,0.0
1749189998.5755506,0.0,0.0,-0.0,0.0,0.0,0.0
1749189999.036051,0.0,0.0,-0.0,0.0,0.0,0.0
1749189999.523866,0.0,0.0,-0.0,0.0,0.0,0.0
1749190000.0507865,0.0,0.0,-0.0,0.0,0.0,0.0
1749190000.5049176,0.0,0.0,-0.0,0.0,0.0,0.0
1749190000.9606957,0.0,0.0,-0.0,0.0,0.0,0.0
1749190001.5158606,0.0,0.0,-0.0,0.0,0.0,0.0
